participant,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4
301,2,1,3,4,2,2,3,4,2,2,2,2,3,2,2,4,2,2,5,5,4,3,4,4,4,2,4,3,5,4,2,4,1,1,4,4,4,5,4,4,4,3
302,4,5,4,4,2,2,2,4,4,3,2,4,4,2,2,1,5,5,1,4,2,2,4,5,4,2,4,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5
304,3,3,2,4,3,2,3,2,4,3,4,5,2,3,3,3,3,2,3,4,4,3,3,2,4,2,3,4,4,4,4,3,2,3,4,2,2,4,3,4,3,3
305,1,2,2,5,5,5,2,5,2,2,5,5,4,4,2,2,3,4,4,4,5,5,5,5,5,1,5,5,3,5,3,5,4,5,5,5,5,5,4,2,5,5
306,2,4,2,2,3,2,2,4,3,4,2,2,4,3,3,4,4,1,2,2,4,2,4,4,4,1,4,3,2,3,2,4,1,3,2,2,2,4,2,3,4,3
307,2,1,3,5,4,3,2,3,4,2,4,2,1,4,1,1,2,4,2,2,4,3,2,3,2,2,4,4,2,2,2,3,4,5,5,5,5,5,4,3,4,3
309,3,4,2,3,3,2,4,4,4,3,4,4,4,4,3,3,4,2,4,3,4,3,4,4,4,2,5,5,2,5,5,5,5,5,4,4,4,5,5,5,5,5
310,2,2,4,5,4,4,4,5,4,4,3,2,3,3,1,1,5,4,2,4,4,3,3,2,2,3,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4
311,2,2,4,4,4,4,4,5,3,2,3,4,2,2,2,3,5,2,4,4,4,4,4,4,4,2,4,5,2,4,4,4,3,3,4,2,3,4,4,4,3,3
312,3,2,4,3,3,3,2,4,4,2,3,4,2,2,2,4,4,2,5,5,4,2,4,3,4,2,4,5,3,5,5,4,5,4,5,3,5,5,5,4,5,5
313,2,2,3,4,4,4,3,4,3,2,2,4,2,4,1,3,4,1,5,5,4,3,2,4,4,3,5,4,3,4,2,5,5,4,5,5,4,5,4,5,5,5
316,4,2,4,1,4,4,3,2,3,4,1,4,3,4,5,5,4,1,4,5,5,1,4,3,4,2,4,5,2,5,4,5,4,2,5,5,5,5,4,5,5,5
318,2,2,4,3,4,2,4,2,3,3,1,5,2,3,2,1,4,1,1,4,3,2,3,4,4,3,4,5,4,5,2,2,3,2,4,5,5,2,4,3,3,2
319,3,4,2,4,4,2,2,2,1,1,4,4,4,4,4,4,3,4,3,3,3,4,2,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3
320,2,1,4,4,2,4,1,3,3,3,3,4,2,5,3,5,4,1,5,5,3,3,5,5,5,1,4,4,2,3,3,3,4,4,5,3,3,4,5,4,5,4
321,1,1,4,3,4,4,3,4,3,4,5,5,3,3,2,4,4,2,4,4,4,3,4,3,4,1,3,4,2,5,5,5,5,5,5,3,3,5,4,3,4,1
322,2,4,4,4,4,4,2,4,5,2,3,4,2,4,3,4,4,1,4,4,3,4,4,2,4,3,2,2,2,2,1,1,2,3,2,1,2,1,3,3,3,2
323,5,4,2,1,2,2,2,2,4,4,2,1,4,2,2,1,2,4,2,2,1,2,1,1,1,5,5,4,2,2,5,5,5,4,5,5,3,4,5,4,4,5
324,1,1,4,5,5,5,2,5,4,3,3,5,2,5,4,4,4,2,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,4,3,5,5,5,5
325,3,2,2,1,3,3,1,2,2,4,2,2,2,4,1,1,2,4,1,1,4,2,2,5,4,2,4,5,5,5,4,4,3,3,4,2,4,2,4,4,4,4
326,4,4,2,1,2,2,1,4,3,4,4,3,3,3,1,1,5,5,1,4,3,1,1,4,4,4,2,2,1,2,2,3,2,3,4,3,4,4,1,2,2,2
327,2,2,4,4,4,3,4,4,4,3,4,5,2,5,5,3,4,1,4,3,4,4,3,4,5,2,5,5,5,3,3,5,1,1,3,3,5,1,5,4,4,2
328,1,4,5,5,1,4,1,2,4,2,1,4,5,5,4,4,3,3,5,5,4,4,4,3,5,3,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5
329,1,2,4,4,4,4,2,4,5,2,4,4,1,5,4,2,4,4,2,2,4,5,4,4,5,2,5,5,5,5,5,4,4,4,4,3,4,4,5,5,5,5
330,2,3,4,2,2,1,1,5,3,1,3,5,4,4,5,5,2,1,5,4,5,4,4,5,4,1,4,4,4,5,2,5,3,4,4,3,4,5,4,5,4,4
331,2,2,4,2,3,3,2,2,3,2,3,3,2,3,2,3,4,2,2,3,4,4,4,4,4,2,4,3,2,2,4,4,3,3,4,4,4,4,3,4,4,4
332,4,4,3,2,2,3,2,4,4,2,3,3,2,4,3,4,4,2,4,5,4,4,4,3,4,2,5,5,4,4,5,5,3,3,4,3,3,3,4,4,4,3
333,3,3,3,4,2,4,2,3,2,4,1,4,3,4,5,5,3,2,4,3,5,5,5,5,5,1,5,5,5,5,3,2,2,2,4,3,2,4,3,4,4,3
334,2,4,4,2,2,3,1,4,2,2,5,5,4,4,1,2,5,4,1,4,4,2,4,4,4,2,4,4,2,5,3,4,3,3,5,5,5,4,3,4,5,3
335,4,2,4,4,4,5,2,3,3,2,3,5,1,4,3,2,4,1,5,4,4,4,5,5,4,1,5,5,5,4,4,5,3,5,4,2,1,4,4,3,4,4
336,4,5,3,2,2,2,1,4,1,4,5,2,2,5,2,2,5,4,2,4,4,2,4,4,4,2,4,4,2,3,4,2,1,1,5,2,1,1,5,5,5,1
337,5,5,2,4,1,2,1,4,1,4,1,1,3,1,1,1,4,4,2,5,2,2,2,4,2,2,4,4,2,5,5,5,5,5,5,4,5,5,5,5,3,5
338,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,2,2,4,3,4,4,4,4,4,3,4,4,3,4,3,4,3,4,3,4,4,4,3,3,3,3
339,2,2,3,1,4,3,4,2,4,4,4,4,3,4,4,4,3,1,5,2,1,1,1,2,1,5,4,3,1,3,3,5,4,5,5,5,5,5,4,4,5,5
340,1,2,3,3,3,3,2,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,2,1,3,4,2,2,4,2,2,4,2,3
341,2,1,5,5,4,4,3,3,4,2,3,4,2,5,4,4,5,2,5,5,4,3,4,5,3,2,4,2,4,5,3,5,5,4,3,3,5,4,4,3,4,5
342,2,4,1,2,1,2,4,3,2,2,4,4,2,4,2,1,4,4,2,2,4,4,4,2,3,2,5,5,3,4,3,4,1,2,4,4,2,2,2,2,2,2
343,2,2,4,3,3,4,1,4,2,4,2,4,2,4,5,4,2,2,4,2,4,3,5,5,5,1,5,4,5,2,2,4,4,5,4,4,2,2,4,2,4,5
344,4,3,3,2,4,4,1,4,4,2,3,3,2,2,4,4,4,1,5,5,3,2,4,5,4,4,5,5,4,3,2,4,1,1,5,5,5,5,4,5,5,4
345,5,2,2,5,3,3,1,1,2,3,1,4,1,3,1,4,5,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
346,1,2,4,3,4,5,2,4,4,2,2,4,2,5,5,5,1,1,5,4,3,4,2,4,4,2,5,3,4,4,2,3,5,4,5,3,4,4,4,4,4,4
347,4,2,5,5,4,4,5,4,2,4,4,4,4,2,4,2,4,2,2,2,2,2,4,2,2,4,5,5,5,5,5,4,5,2,4,1,2,5,5,5,5,3
348,4,2,4,2,4,3,2,4,4,2,1,4,2,4,3,4,2,1,4,4,4,4,4,4,5,2,5,5,5,5,4,4,4,4,5,3,4,5,3,4,5,2
350,1,1,5,4,4,3,2,2,4,5,1,1,3,1,3,2,5,1,1,5,5,4,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4
351,2,1,4,4,4,4,4,4,5,2,3,5,1,4,5,5,1,1,1,3,5,5,4,5,5,1,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5
352,4,1,5,5,5,4,3,4,4,3,5,4,1,5,1,1,5,5,2,4,4,3,4,4,4,1,4,4,3,4,4,4,5,3,4,4,5,5,3,3,4,2
353,2,3,4,3,4,2,4,4,4,4,4,5,3,5,4,4,3,2,4,4,4,4,4,4,4,2,4,3,2,3,2,3,3,2,4,4,3,2,3,4,4,3
354,2,2,2,4,4,4,2,4,4,2,2,4,3,3,4,4,4,1,2,2,2,3,4,3,4,3,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
355,2,4,3,3,3,2,1,5,2,3,5,5,3,4,2,2,4,2,4,5,5,4,3,2,4,2,3,2,4,5,5,1,1,1,4,2,4,5,5,5,4,3
356,4,4,4,4,2,2,4,5,5,1,5,5,3,5,5,4,5,2,4,2,3,4,4,5,4,1,4,5,3,5,2,4,3,3,5,3,5,5,3,3,5,4
357,3,3,3,2,3,2,1,1,5,4,1,1,1,2,1,4,4,2,3,5,1,3,4,5,3,4,4,5,3,4,4,5,5,4,4,5,3,4,4,5,5,3
358,2,1,4,2,5,4,1,4,4,2,3,2,3,4,5,5,1,1,4,4,5,5,4,5,5,1,3,4,3,5,4,4,4,5,5,5,4,5,3,4,3,5
359,2,2,5,5,4,5,5,5,5,2,4,5,1,5,3,2,4,3,2,4,5,4,5,5,5,2,4,4,3,5,3,5,2,4,4,4,4,4,4,4,4,4
360,2,2,4,4,4,4,3,5,4,2,4,3,2,5,3,3,5,2,3,5,4,3,3,5,4,1,5,2,3,3,2,5,4,4,5,5,5,5,4,5,5,5
361,2,1,3,4,4,4,4,4,3,3,1,5,2,4,1,1,1,1,4,4,4,3,4,5,4,2,5,5,5,5,2,2,2,2,3,3,4,4,3,5,4,4
362,1,1,3,4,4,2,2,3,4,2,1,5,3,2,1,1,1,5,1,3,2,2,2,2,2,1,4,4,3,4,3,3,2,4,3,3,2,3,2,3,3,3
363,2,4,2,4,4,4,2,2,3,3,4,5,4,4,1,1,5,5,1,3,5,3,5,5,4,2,4,5,4,3,2,5,4,5,5,2,3,5,4,5,5,3
364,3,2,4,2,3,2,4,2,4,2,1,3,2,3,3,4,4,3,2,4,4,4,4,4,4,2,2,3,3,2,2,3,4,5,2,2,3,2,2,3,4,4
365,3,2,5,3,3,2,1,4,5,4,5,4,2,1,5,4,2,2,4,5,3,5,3,5,4,2,4,4,1,2,5,3,3,3,5,5,5,5,4,3,2,3
366,1,1,3,3,5,5,2,3,4,3,2,4,4,2,4,4,2,2,4,4,5,5,5,5,5,1,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4
367,1,2,4,4,3,3,1,3,5,2,4,5,2,4,5,5,2,1,5,5,3,2,2,2,4,2,3,4,3,4,4,4,3,5,3,2,3,3,3,4,3,4
368,2,1,2,4,4,3,2,2,4,1,2,4,1,4,1,1,4,2,4,4,4,4,4,4,4,2,3,4,4,4,4,4,3,3,4,4,2,4,4,4,4,5
369,5,2,4,1,3,1,2,1,2,3,1,5,3,4,3,4,3,2,5,4,4,3,4,4,4,1,3,3,1,4,2,2,3,3,4,4,4,4,2,3,4,1
370,4,3,3,2,2,2,2,3,4,3,3,4,3,4,4,4,3,1,4,5,4,4,3,4,4,2,4,3,3,4,3,3,3,3,2,3,4,4,1,2,2,3
371,2,2,3,4,4,4,3,4,2,4,4,2,3,4,3,4,3,2,5,5,5,5,5,4,5,1,3,3,2,4,3,3,1,3,4,3,2,2,3,4,4,3
372,4,3,4,1,2,2,2,3,4,4,1,4,3,5,3,2,4,3,4,4,2,3,4,4,4,3,3,4,1,4,2,4,2,4,4,3,4,3,3,4,2,3
374,2,3,4,4,4,4,4,4,5,3,4,5,5,5,4,5,3,2,5,4,4,3,4,4,4,2,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
375,1,2,5,4,4,5,4,4,5,1,3,3,1,5,2,4,3,5,2,4,4,4,5,5,5,2,5,4,1,4,5,4,1,2,4,5,3,2,4,4,5,4
376,2,3,4,2,1,1,1,1,2,3,2,2,4,4,3,3,2,2,4,4,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,4
377,4,4,4,2,4,3,5,4,3,2,1,1,3,1,4,5,2,1,5,5,5,5,3,5,5,2,2,1,3,2,4,4,4,4,5,4,3,3,4,3,3,5
379,4,2,4,2,1,3,2,2,5,4,5,5,5,4,1,1,4,2,3,2,4,3,3,4,4,2,3,4,2,3,5,2,4,1,4,4,4,5,4,3,4,1
380,2,2,4,2,3,3,4,4,5,3,2,2,2,3,4,4,2,1,4,4,3,4,2,5,5,2,4,3,2,4,4,4,4,4,4,4,3,4,3,4,4,4
